"logFC","logCPM","LR","PValue","FDR"
"K16023",-3.31203114247229,-0.911616504356593,53.1636005151397,3.06893211741494e-13,1.78581159912375e-09
"K11081",-2.00857149205594,-0.984574460019512,40.4725702138418,1.99395738181534e-10,5.80141900239172e-07
"K15672",-1.87041531016349,1.58393742858455,30.9705743522138,2.61970215094929e-08,5.08134893879131e-05
"K14743",-1.05818625558372,3.13486237372718,22.2520596099825,2.39102176831705e-06,0.00347833891745922
"K16106",-0.928273705984047,0.515285243834353,20.9486482312828,4.71760596581993e-06,0.00444160842779374
"K14339",-0.638292543842072,4.21764274991663,20.8473943343696,4.97368422148863e-06,0.00444160842779374
"K13669",-0.953454687318196,0.920150528197034,20.7102013806994,5.34305877204953e-06,0.00444160842779374
"K03822",-0.754452942083009,4.85275007874979,20.4146605788786,6.23503117672149e-06,0.0045352058021678
"K12428",-1.22099715253173,1.12455337221453,20.1617897293591,7.1160284078207e-06,0.00460090770056763
"K00622",-1.06669233333596,-0.0247342655994393,19.9431340810434,7.9779933227666e-06,0.00464239431451788
"K16017",-1.11580690286379,-0.0905908102100105,18.7677858009391,1.47639983792472e-05,0.00781015514262177
"K01616",-0.53629975643681,6.06584461730502,18.512828465931,1.68764554484656e-05,0.00785307406749761
"K16045",-1.17349434424295,-0.465537299206795,18.4388706605091,1.75442452100823e-05,0.00785307406749761
"K12423",-1.13183052858744,-0.0142535813457194,18.1828252645107,2.00680413799365e-05,0.0083411380564179
"K12421",-0.917347383192054,2.73392664211784,17.8665556295104,2.36948834183506e-05,0.00872321087912931
"K15673",-1.53091156641347,2.37911742357814,17.8433615206488,2.39854569627202e-05,0.00872321087912931
"K11387",-0.941666738289227,3.8837919922551,17.324853681324,3.15039420454038e-05,0.0107836140448356
"K15671",-1.46895431892664,2.98797162229897,17.0517166366624,3.63754771083695e-05,0.0117593834052001
"K09146",-0.762708721999292,2.83537091026546,16.8299742665395,4.08824439044324e-05,0.0125207863726259
"K04791",-1.37890102953393,-0.276328951697736,15.7650822677946,7.17139187533315e-05,0.0208651646612818
"K15320",-0.815579797006451,2.78820578122976,15.6042130897829,7.8080422190027e-05,0.0216357131773222
"K16435",-0.725265146704157,3.30053593894217,15.3249163033688,9.05147550256577e-05,0.0239411527042865
"K04787",-0.873030613182158,1.36253856800365,15.0812620303737,0.000102980454667826,0.02605405503096
"K15467",-1.88791365812252,-1.58218892612449,14.8188371196614,0.000118347456453914,0.0272471669162983
"K12433",-0.894951157219275,1.76969038824112,14.7758836339839,0.000121074047240708,0.0272471669162983
"K06718",-1.3308552492502,0.144215229616024,14.7654838423482,0.000121743656955449,0.0272471669162983
"K17476",-0.957005627445799,2.79403007099513,14.6443059981273,0.000129826261823828,0.0279799636130686
"K18851",-1.21524483482636,1.70172169863554,14.4993990072186,0.000140204265542289,0.0291374507568063
"K15930",-0.794152592682861,-0.0211433970287073,14.2338946141421,0.000161436427874211,0.0315156562039236
"K20170",-1.08789976849015,0.529079543217216,14.2217715290596,0.000162479753586133,0.0315156562039236
"K04788",-0.94039307126216,2.57168655179853,13.9386226372998,0.000188877341433994,0.0352139694631953
"K20219",-1.40954129805385,0.22742598675169,13.8917210190345,0.000193649600072564,0.0352139694631953
"K07472",-0.680894491680505,1.0194919403318,13.7449829707546,0.000209379309521876,0.0369205515790242
"K04789",-0.76706602353207,2.00818816993043,13.320274561316,0.000262551730277802,0.0449349564260745
"K03420",-0.564837988419322,3.03431786316011,13.2290173358372,0.000275648286208617,0.0458284964985126
"K15739",-0.974317079061298,2.384234298969,13.0844691014668,0.000297754211244103,0.0481286598674843
"K19969",-0.847317672543103,0.918805367642509,12.8731633064545,0.000333327702985771,0.0524225379371406
"K19102",-0.895243185449376,-0.653345782474329,12.631385559298,0.000379323920866346,0.0580864709347702
"K12437",-0.774148036976999,2.43401383597601,12.4172570656682,0.000425384574894648,0.0617464736719616
"K04792",-0.870033701923046,1.24287719749894,12.3808435901509,0.000433761130983642,0.0617464736719616
"K12436",-0.579331262240007,5.7965203922908,12.3752673609307,0.000435058501555323,0.0617464736719616
"K18058",-0.668923418828243,0.734222245634572,12.2026478321273,0.000477217340334157,0.0661173262715348
"K16428",-0.96998573788076,0.882662668965549,11.9211309582739,0.000555007760193236,0.0734703953833263
"K18347",-0.827345835124003,2.03295880372008,11.9193395069756,0.000555541742028933,0.0734703953833263
"K13950",-0.423746422692106,6.35364282197506,11.7996402299029,0.000592421682743066,0.07660670604182
"K15466",-1.55704705471801,-1.26450553334284,11.7336796576995,0.000613791144883587,0.0776445798277738
"K15670",-1.02205360297025,3.27893939388653,11.6836697759162,0.000630510484042982,0.0780625639711939
"K16394",-0.657233507623325,-0.0334290030160479,11.4212661559965,0.000726081966878742,0.0880223117764042
"K12343",-0.720162822589174,0.304195438540883,11.2350887209936,0.00080265269107005,0.0953191022313597
"K15972",-0.588729828657446,1.05013262311208,11.0664903396543,0.000879019075150521,0.102300239966018
"K11609",-0.708458613131287,2.03102389437665,11.0203646742785,0.000901163405850054,0.102820977620421
"K18553",-1.00492836112331,1.81154255313464,10.8358571510403,0.000995532223060122,0.111403884730516
"K16016",-0.786944538831207,1.15565023029454,10.7297916847166,0.00105424314193218,0.115747940432139
"K02478",-0.27274182481187,6.43321596916758,10.2859935986893,0.00134043819192982,0.144444626645178
"K16018",-1.14641424992812,-0.987515098130744,10.1947718765386,0.00140839382366636,0.149008066543901
"K18354",-0.600035145144955,0.398079580692562,10.0903250040043,0.00149049815570595,0.154878728000945
"K15231",-0.581141910014204,0.456680765101969,9.94667023861181,0.00161140599695005,0.164504763092147
"K16024",-0.767741530819895,0.141151430190629,9.84340287673971,0.00170441907797845,0.171000251978562
"K14468",-0.673689878787937,1.8033276056012,9.79177873939015,0.00175293815613245,0.172887239500589
"K15927",-0.718572948241363,0.326807925199695,9.61216352063095,0.00193292784208609,0.187461785218316
"K00485",-1.04705676598733,0.0395479411984394,9.44174067338255,0.00212102093027182,0.200687967713558
"K16437",-0.683547435645153,1.96656767437158,9.42687765853007,0.00213828046025788,0.200687967713558
"K11385",-0.638550967967156,2.56267669575696,9.38159016986756,0.00219175348009801,0.202441484137941
"K16396",-0.605998726010352,2.19299243481207,9.34798629466363,0.00223230609803129,0.202965456006938
"K08997",-0.674613678336341,1.72955340256434,9.29729703054866,0.00229492207478446,0.205448485433397
"K16026",-0.803415166038236,0.327399262311527,9.13448585396676,0.00250835940214519,0.221153687289135
"K12429",-0.486234712034678,3.90266111556843,8.98884505584972,0.00271632623997606,0.231607848802445
"K18287",-0.660647383465348,1.4291908684714,8.98014717871401,0.00272928663861054,0.231607848802445
"K02799",-0.58576850080502,1.16239584577726,8.96876738857693,0.00274633812809223,0.231607848802445
"K18224",-0.346232241578211,5.31888943818519,8.87597001155517,0.00288948672456362,0.236840743185329
"K18662",-0.574759641847422,3.55821947425277,8.87577789130021,0.00288979081734978,0.236840743185329
"K07655",-0.596972200948806,1.22641201053136,8.7538165967135,0.00308954789730192,0.249695544644443
"K16430",-0.945377702157317,0.433707283236486,8.69387013433997,0.00319281971060284,0.254507094465725
"K16429",-0.832538702034641,1.30530061723284,8.47596140039164,0.00359870142469946,0.282984372842245
"K18897",-1.00174691008085,1.63211231963578,8.39789989516576,0.00375654750373315,0.288360314316369
"K01318",-0.590642238891571,0.772089176740935,8.39324624750721,0.00376617698711875,0.288360314316369
"K18223",-0.358033322711965,5.59967470409998,8.27617546112113,0.00401686491603367,0.303560220083116
"K04041",-0.386060968436347,5.41125633691586,8.22726414749625,0.00412656902397489,0.304694248808409
"K16397",-0.469567401883386,2.67613014511807,8.21464122821132,0.00415537300596107,0.304694248808409
"K16647",-0.676156618591899,0.308509915642436,8.1822758177855,0.00423016559044082,0.304694248808409
"K13316",-0.704429884052374,0.0673758493099835,8.17749938432628,0.00424131880967196,0.304694248808409
"K13329",-0.61711868722779,1.61667591534468,8.1469588933692,0.00431334353235511,0.306089585546029
"K16398",-0.489397645634874,1.0562844142406,8.00115049164253,0.00467476379330943,0.32774036762973
"K05553",-0.620607431306021,0.303721737974922,7.97545216742834,0.00474159109608516,0.328468078429994
"K14469",-0.601274092974254,2.79049871625766,7.95156624116689,0.0048045778474085,0.32891574698906
"K01782",-0.145213599522359,8.3678941119319,7.91976350529745,0.00488976637323268,0.328987559534946
"K10540",-0.771245232867931,0.810058733161261,7.90909007664784,0.00491870040892598,0.328987559534946
"K00213",-0.610071689659503,0.256732619884119,7.83632052704228,0.00512067313212837,0.337601545345268
