"logFC","logCPM","LR","PValue","FDR"
"K08966",-2.36926929022304,3.33731788913545,65.1886420048347,6.80606740950262e-16,3.96045062558957e-12
"K19694",-1.78390139100707,5.51062170246347,62.0508364889875,3.34704162605429e-15,7.34548476639936e-12
"K13730",-1.60890528456563,7.48015643972536,61.8076599179718,3.78698303818493e-15,7.34548476639936e-12
"K13472",-1.64439359933432,3.81136217604081,60.8651827974937,6.11203015418746e-15,8.89147586680420e-12
"K11751",-0.922100481958411,5.02328174799795,58.7032815050438,1.83335477831486e-14,2.13365829100283e-11
"K19144",-1.9349088440322,3.03047510453067,57.0803595981556,4.18362925421607e-14,4.05742310504722e-11
"K01481",-1.42846204459923,4.49684529470756,54.901923025285,1.26696981938346e-13,1.05321391128463e-10
"K02723",-2.12329919553809,1.10573966229362,54.1510528005642,1.8565437922992e-13,1.25257273113269e-10
"K12152",-1.95470380005489,2.29693714538724,54.0673881519615,1.93730101051627e-13,1.25257273113269e-10
"K05941",-1.0397121504203,3.07110569782191,52.1473227441512,5.14890038302727e-13,2.99614513288357e-10
"K18031",-2.32115636081335,1.60265720128236,50.9812656329652,9.32517552289076e-13,4.93301785160921e-10
"K20024",-2.00245982191018,4.13136691930242,50.1482639639559,1.42557195529298e-12,6.91283600654154e-10
"K18640",-1.70926928043943,4.12476002384339,48.8153583970254,2.81228958428868e-12,1.25882408392122e-09
"K11953",-1.76426629654662,5.04214090271018,47.296266096429,6.10283600101878e-12,2.53660019213773e-09
"K11356",-1.71726917543139,5.26462574512453,46.7496272733194,8.06602769514376e-12,3.1290810105361e-09
"K16915",-2.02886493025878,2.79101338589185,45.6868674098747,1.38749883919689e-11,5.04615984080419e-09
"K10257",-2.03505220628138,4.14821428418605,44.6722376994472,2.32936876441518e-11,7.97329225890112e-09
"K19091",-1.61174993552925,5.47059641419849,44.0232841388462,3.24492730940365e-11,1.04901288963443e-08
"K06016",0.23666528727665,8.96858603129791,43.3549993360952,4.56568248615649e-11,1.34399239454055e-08
"K19134",-1.71941748219578,3.45129848295772,43.3321438767333,4.61932426375857e-11,1.34399239454055e-08
"K05275",-1.61792712074941,3.97351289238381,43.2329913400913,4.85943625562945e-11,1.34652664626228e-08
"K19169",-0.89689131660563,5.28524316673203,42.6562950664924,6.52540887609411e-11,1.72597064772689e-08
"K03828",-0.822084724790169,5.20805680390868,42.3957925639476,7.45502423481195e-11,1.88612113140742e-08
"K00367",-0.764023213456993,7.06801734877319,42.0233168782876,9.01915296995155e-11,2.18676879717284e-08
"K10775",-1.06028122846115,4.27676404564168,41.9162010798091,9.52699946434579e-11,2.21750439532112e-08
"K19076",-1.70784953773278,5.13615159137464,41.730006948464,1.04788327121292e-10,2.34524336737999e-08
"K07190",-1.57085668150882,6.06499599664387,40.2123615236784,2.27802223006523e-10,4.90955976175909e-08
"K15918",-1.19317418808827,4.71113446875407,39.972378949757,2.5757952286793e-10,5.35305444131601e-08
"K05382",-1.83502742918177,0.963493969313133,39.8832286541387,2.69608273790908e-10,5.40982946616998e-08
"K01025",-3.0558791929601,0.0513545405139266,39.7826043165592,2.83862128398306e-10,5.50597908383248e-08
"K03184",-1.87153453389942,-0.00898699215293287,39.4631089204983,3.34315902306834e-10,6.17413406033408e-08
"K02718",-1.93963060618657,0.979534272132815,39.4328905891548,3.39529626964582e-10,6.17413406033408e-08
"K19121",-1.7041388648422,3.98957609380292,38.9896985404099,4.26047780984568e-10,7.51264253802789e-08
"K15578",-0.795986505378112,6.59005322321527,38.5344863160109,5.37946774710897e-10,9.13020423738213e-08
"K02722",-1.91347786791936,1.15022037631175,38.4942171982328,5.49161622801812e-10,9.13020423738213e-08
"K01857",0.283112389952081,7.38370244592105,38.3157199255881,6.01759341437303e-10,9.72677113284352e-08
"K07496",-1.82609320225184,10.5884553788847,38.2034824492112,6.3738566310483e-10,1.00241815502892e-07
"K19199",-1.34706216558741,0.787457371096319,37.8333153922096,7.70545750578657e-10,1.17994887437295e-07
"K01127",-0.799159091489297,1.69370746750378,37.7297967275661,8.12538981960491e-10,1.21234982975079e-07
"K19122",-1.89632877451577,5.14960209583202,37.6474283086271,8.47583483170134e-10,1.21459847297729e-07
"K19171",-1.03211748649973,6.63600272019116,37.628628164125,8.55792015673978e-10,1.21459847297729e-07
"K07358",-0.769204075552802,4.69472522111588,37.5269866881117,9.0156902636148e-10,1.24910242009463e-07
"K05379",-1.81302354835623,1.45987000734126,37.3445081755439,9.89992642864819e-10,1.339713299728e-07
"K08480",-1.87264688176223,3.87743887040523,36.202656531527,1.77827981719146e-09,2.3517750582357e-07
"K18334",0.347565290192054,7.35200293076695,35.936958073479,2.03805987667011e-09,2.63543787163186e-07
"K05376",-1.86387271016673,1.1081954707594,35.8818469701416,2.09652972098612e-09,2.65211009704744e-07
"K16247",-2.86375687690816,4.12190158173463,35.8127271423346,2.17224228536299e-09,2.68942082096324e-07
"K05384",-1.61701988617498,2.24915291468117,35.6722489421625,2.33466188029423e-09,2.83029114196503e-07
"K19003",-1.7127504823794,4.76626499941179,35.3225846937014,2.79373539443125e-09,3.31770331840724e-07
"K02703",-1.94653796333118,6.41463289808046,34.9731156300909,3.34289154600966e-09,3.86592636028311e-07
