"diff","lwr","upr","p adj"
"hypolithic moss crust-bare soil",143.030954155078,-94.8666833809868,380.928591691142,0.57330967170667
"hypolithic non-moss crust-bare soil",0.79274678164802,-242.703248178599,244.288741741895,1
"moss biological soil crust-bare soil",-173.128205616512,-402.95915845408,56.7027472210569,0.278328024093819
"non-moss soil biological crust-bare soil",-19.2049150282737,-262.700909988521,224.291079931974,0.999999249293041
"soil below hypolithic moss crust-bare soil",46.3278590318027,-228.372671110243,321.028389173848,0.999738471840679
"soil below hypolithic non-moss crust-bare soil",60.8218362321747,-213.878693909871,335.52236637422,0.998118490303867
"soil below moss biological soil crust-bare soil",14.86417654347,-321.573888916551,351.302242003491,0.999999992392788
"soil below non-moss biological soil crust-bare soil",53.1483464437538,-221.552183698292,327.8488765858,0.999282792565821
"hypolithic non-moss crust-hypolithic moss crust",-142.23820737343,-343.298407926897,58.8219931800376,0.357021700197702
"moss biological soil crust-hypolithic moss crust",-316.159159771589,-500.433877427443,-131.884442115736,5.00447863095443e-05
"non-moss soil biological crust-hypolithic moss crust",-162.235869183351,-363.296069736819,38.8243313701159,0.201664390072825
"soil below hypolithic moss crust-hypolithic moss crust",-96.703095123275,-334.60073265934,141.19454241279,0.91611137613982
"soil below hypolithic non-moss crust-hypolithic moss crust",-82.209117922903,-320.106755458968,155.688519613162,0.965804394566661
"soil below moss biological soil crust-hypolithic moss crust",-128.166777611608,-435.29130703803,178.957751814814,0.904035284383431
"soil below non-moss biological soil crust-hypolithic moss crust",-89.882607711324,-327.780245247389,148.015029824741,0.943242142132783
"moss biological soil crust-hypolithic non-moss crust",-173.92095239816,-365.368556675634,17.5266518793149,0.100946177287032
"non-moss soil biological crust-hypolithic non-moss crust",-19.9976618099217,-227.651744030909,187.656420411066,0.999996406464453
"soil below hypolithic moss crust-hypolithic non-moss crust",45.5351122501547,-197.960882710093,289.031107210402,0.99944012464972
"soil below hypolithic non-moss crust-hypolithic non-moss crust",60.0290894505267,-183.466905509721,303.525084410774,0.996035504261064
"soil below moss biological soil crust-hypolithic non-moss crust",14.0714297618219,-297.409693569659,325.552553093303,0.999999990917816
"soil below non-moss biological soil crust-hypolithic non-moss crust",52.3555996621058,-191.140395298142,295.851594622353,0.998470394774888
"non-moss soil biological crust-moss biological soil crust",153.923290588238,-37.5243136892366,345.370894865712,0.205382432642166
"soil below hypolithic moss crust-moss biological soil crust",219.456064648314,-10.3748881892542,449.287017485883,0.0712996926307455
"soil below hypolithic non-moss crust-moss biological soil crust",233.950041848686,4.11908901111781,463.780994686255,0.043246112843783
"soil below moss biological soil crust-moss biological soil crust",187.992382159982,-112.926971674871,488.911735994834,0.523050602461786
"soil below non-moss biological soil crust-moss biological soil crust",226.276552060265,-3.55440077730316,456.107504897834,0.05656299173264
"soil below hypolithic moss crust-non-moss soil biological crust",65.5327740600765,-177.963220900171,309.028769020324,0.992848365725968
"soil below hypolithic non-moss crust-non-moss soil biological crust",80.0267512604485,-163.469243699799,323.522746220696,0.974616538446307
"soil below moss biological soil crust-non-moss soil biological crust",34.0690915717437,-277.412031759737,345.550214903225,0.999990321091624
"soil below non-moss biological soil crust-non-moss soil biological crust",72.3532614720275,-171.14273348822,315.849256432275,0.986403781195175
"soil below hypolithic non-moss crust-soil below hypolithic moss crust",14.493977200372,-260.206552941674,289.194507342418,0.999999968796181
"soil below moss biological soil crust-soil below hypolithic moss crust",-31.4636824883328,-367.901747948354,304.974382971688,0.999997142327275
"soil below non-moss biological soil crust-soil below hypolithic moss crust",6.82048741195104,-267.880042730095,281.521017553997,0.999999999923294
"soil below moss biological soil crust-soil below hypolithic non-moss crust",-45.9576596887048,-382.395725148726,290.480405771316,0.99994650952654
"soil below non-moss biological soil crust-soil below hypolithic non-moss crust",-7.67348978842097,-282.374019930467,267.027040353625,0.99999999980336
"soil below non-moss biological soil crust-soil below moss biological soil crust",38.2841699002838,-298.153895559737,374.722235360305,0.999986850277698
