"diff","lwr","upr","p adj"
"hypolithic moss crust-bare soil",0.0894164745513484,-0.0773415398213418,0.256174488924039,0.709952818085554
"hypolithic non-moss crust-bare soil",0.0164416453966298,-0.154240623867679,0.187123914660938,0.999996398824054
"moss biological soil crust-bare soil",-0.127762772463127,-0.288866319911202,0.0333407749849482,0.219843192744527
"non-moss soil biological crust-bare soil",-0.0108339339436219,-0.18151620320793,0.159848335320687,0.999999864870408
"soil below hypolithic moss crust-bare soil",0.0430889743630631,-0.149466594612137,0.235644543338263,0.9979727299047
"soil below hypolithic non-moss crust-bare soil",0.0513241269760245,-0.141231441999176,0.243879695951225,0.993292800194102
"soil below moss biological soil crust-bare soil",0.011873345634732,-0.223958099925534,0.247704791194998,0.999999978498001
"soil below non-moss biological soil crust-bare soil",0.0403944159410399,-0.15216115303416,0.23294998491624,0.998716353706039
"hypolithic non-moss crust-hypolithic moss crust",-0.0729748291547185,-0.213911074511877,0.0679614162024397,0.746199571506312
"moss biological soil crust-hypolithic moss crust",-0.217179247014475,-0.346349449516885,-0.0880090445120661,7.17850299692957e-05
"non-moss soil biological crust-hypolithic moss crust",-0.10025040849497,-0.241186653852128,0.040685836862188,0.349930190969595
"soil below hypolithic moss crust-hypolithic moss crust",-0.0463275001882852,-0.213085514560975,0.120430514184405,0.991187322780183
"soil below hypolithic non-moss crust-hypolithic moss crust",-0.0380923475753239,-0.204850361948014,0.128665666797366,0.997658459146863
"soil below moss biological soil crust-hypolithic moss crust",-0.0775431289166164,-0.292826799753965,0.137740541920732,0.956561338207959
"soil below non-moss biological soil crust-hypolithic moss crust",-0.0490220586103085,-0.215780072982999,0.117735955762382,0.987301745156459
"moss biological soil crust-hypolithic non-moss crust",-0.144204417859757,-0.27840256575385,-0.0100062699656635,0.0269444267409397
"non-moss soil biological crust-hypolithic non-moss crust",-0.0272755793402517,-0.172833907645659,0.118282748965155,0.999431758175841
"soil below hypolithic moss crust-hypolithic non-moss crust",0.0266473289664333,-0.144034940297875,0.197329598230742,0.999853041433745
"soil below hypolithic non-moss crust-hypolithic non-moss crust",0.0348824815793947,-0.135799787684914,0.205564750843703,0.9989351555549
"soil below moss biological soil crust-hypolithic non-moss crust",-0.00456829976189788,-0.222905792220008,0.213769192696213,0.999999999980491
"soil below non-moss biological soil crust-hypolithic non-moss crust",0.02395277054441,-0.146729498719898,0.194635039808718,0.999934321731252
"non-moss soil biological crust-moss biological soil crust",0.116928838519505,-0.0172693093745883,0.251126986413598,0.131526693321758
"soil below hypolithic moss crust-moss biological soil crust",0.17085174682619,0.00974819937811494,0.331955294274265,0.030360557297979
"soil below hypolithic non-moss crust-moss biological soil crust",0.179086899439151,0.0179833519910763,0.340190446887227,0.0195538911189583
"soil below moss biological soil crust-moss biological soil crust",0.139636118097859,-0.0712979393040594,0.350570175499777,0.445313129264639
"soil below non-moss biological soil crust-moss biological soil crust",0.168157188404167,0.00705364095609168,0.329260735852242,0.0349366665811965
"soil below hypolithic moss crust-non-moss soil biological crust",0.053922908306685,-0.116759360957623,0.224605177570993,0.980048954963306
"soil below hypolithic non-moss crust-non-moss soil biological crust",0.0621580609196464,-0.108524208344662,0.232840330183955,0.953765749104346
"soil below moss biological soil crust-non-moss soil biological crust",0.0227072795783538,-0.195630212879757,0.241044772036464,0.999993456479255
"soil below non-moss biological soil crust-non-moss soil biological crust",0.0512283498846617,-0.119453919379647,0.22191061914897,0.985511869710705
"soil below hypolithic non-moss crust-soil below hypolithic moss crust",0.00823515261296137,-0.184320416362239,0.200790721588162,0.999999994127547
"soil below moss biological soil crust-soil below hypolithic moss crust",-0.0312156287283312,-0.267047074288597,0.204615816831935,0.999957940868327
"soil below non-moss biological soil crust-soil below hypolithic moss crust",-0.00269455842202326,-0.195250127397224,0.189861010553177,0.999999999999337
"soil below moss biological soil crust-soil below hypolithic non-moss crust",-0.0394507813412925,-0.275282226901559,0.196380664218973,0.999753798291886
"soil below non-moss biological soil crust-soil below hypolithic non-moss crust",-0.0109297110349846,-0.203485280010185,0.181625857940216,0.99999994427784
"soil below non-moss biological soil crust-soil below moss biological soil crust",0.0285210703063079,-0.207310375253958,0.264352515866574,0.999978959686192
