"diff","lwr","upr","p adj"
"hypolithic_moss_crust-bare_soil",-0.0100941099733634,-0.0411440706681853,0.0209558507214586,0.978256411562876
"hypolithic_non-moss_crust-bare_soil",0.000962861086303057,-0.0310234890240747,0.0329492111966808,0.999999999688148
"moss_biological_soil_crust-bare_soil",0.0316763889667744,0.00198694789384666,0.0613658300397021,0.028288663464154
"non-moss_soil_biological_crust-bare_soil",-0.000684250272906972,-0.0298632331072921,0.0284947325614782,0.999999999957593
"soil_below_hypolithic_moss_crust-bare_soil",-0.0564699574953815,-0.0935817588365412,-0.0193581561542219,0.000296410044003714
"soil_below_hypolithic_non-moss_crust-bare_soil",-0.00318358824741427,-0.0402953895885739,0.0339282130937454,0.999998726963941
"soil_below_moss_biological_soil_crust-bare_soil",-0.0431834066818855,-0.0779973622590878,-0.00836945110468316,0.0056028507521394
"soil_below_non-moss_biological_soil_crust-bare_soil",-0.00793519147016131,-0.0427491470473636,0.026878764107041,0.997935077554235
"hypolithic_non-moss_crust-hypolithic_moss_crust",0.0110569710596664,-0.0186986672884701,0.0408126094078029,0.95210180187913
"moss_biological_soil_crust-hypolithic_moss_crust",0.0417704989401377,0.0144990059237245,0.069041991956551,0.000265518992066061
"non-moss_soil_biological_crust-hypolithic_moss_crust",0.00940985970045638,-0.0173050136732052,0.0361247330741179,0.964806985789273
"soil_below_hypolithic_moss_crust-hypolithic_moss_crust",-0.0463758475220182,-0.081583193614945,-0.0111685014290914,0.00259246715271322
"soil_below_hypolithic_non-moss_crust-hypolithic_moss_crust",0.00691052172594908,-0.0282968243669777,0.0421178678188759,0.999291636765228
"soil_below_moss_biological_soil_crust-hypolithic_moss_crust",-0.0330892967085221,-0.0658655521849008,-0.000313041232143402,0.0461962136683014
"soil_below_non-moss_biological_soil_crust-hypolithic_moss_crust",0.00215891850320205,-0.0306173369731767,0.0349351739795808,0.999999841548064
"moss_biological_soil_crust-hypolithic_non-moss_crust",0.0307135278804713,0.00238049299929506,0.0590465627616476,0.0243268317946849
"non-moss_soil_biological_crust-hypolithic_non-moss_crust",-0.00164711135921003,-0.0294447910034617,0.0261505682850417,0.99999993149298
"soil_below_hypolithic_moss_crust-hypolithic_non-moss_crust",-0.0574328185816846,-0.0934686861741376,-0.0213969509892316,0.000133572524955716
"soil_below_hypolithic_non-moss_crust-hypolithic_non-moss_crust",-0.00414644933371733,-0.0401823169261703,0.0318894182587357,0.999987405548613
"soil_below_moss_biological_soil_crust-hypolithic_non-moss_crust",-0.0441462677681885,-0.0778109296153914,-0.0104816059209856,0.00275236157893866
"soil_below_non-moss_biological_soil_crust-hypolithic_non-moss_crust",-0.00889805255646436,-0.0425627144036673,0.0247666092907385,0.994276628696261
"non-moss_soil_biological_crust-moss_biological_soil_crust",-0.0323606392396814,-0.057481294315607,-0.00723998416375569,0.00347992248547124
"soil_below_hypolithic_moss_crust-moss_biological_soil_crust",-0.0881463464621559,-0.122159874226561,-0.0541328186977504,1.2565031237699e-09
"soil_below_hypolithic_non-moss_crust-moss_biological_soil_crust",-0.0348599772141887,-0.0688735049785942,-0.000846449449783099,0.0406221529999594
"soil_below_moss_biological_soil_crust-moss_biological_soil_crust",-0.0748597956486599,-0.106350203317118,-0.0433693879802015,1.52022370247806e-08
"soil_below_non-moss_biological_soil_crust-moss_biological_soil_crust",-0.0396115804369357,-0.0711019881053941,-0.00812117276847728,0.00471317544776428
"soil_below_hypolithic_moss_crust-non-moss_soil_biological_crust",-0.0557857072224746,-0.0893545945887023,-0.0222168198562469,6.22626880950605e-05
"soil_below_hypolithic_non-moss_crust-non-moss_soil_biological_crust",-0.0024993379745073,-0.036068225340735,0.0310695493917204,0.999999582704925
"soil_below_moss_biological_soil_crust-non-moss_soil_biological_crust",-0.0424991564089785,-0.073508766260639,-0.011489546557318,0.0014950729571509
"soil_below_non-moss_biological_soil_crust-non-moss_soil_biological_crust",-0.00725094119725433,-0.0382605510489148,0.0237586686544061,0.99753027597376
"soil_below_hypolithic_non-moss_crust-soil_below_hypolithic_moss_crust",0.0532863692479673,0.01263242775956,0.0939403107363745,0.0027698734068422
"soil_below_moss_biological_soil_crust-soil_below_hypolithic_moss_crust",0.0132865508134961,-0.0252811644764787,0.0518542661034709,0.969129762225331
"soil_below_non-moss_biological_soil_crust-soil_below_hypolithic_moss_crust",0.0485347660252202,0.00996705073524543,0.087102481315195,0.00468813162873949
"soil_below_moss_biological_soil_crust-soil_below_hypolithic_non-moss_crust",-0.0399998184344712,-0.078567533724446,-0.0014321031444964,0.0366089035098087
"soil_below_non-moss_biological_soil_crust-soil_below_hypolithic_non-moss_crust",-0.00475160322274704,-0.0433193185127218,0.0338161120672278,0.999978650463797
"soil_below_non-moss_biological_soil_crust-soil_below_moss_biological_soil_crust",0.0352482152117242,-0.00111377547682686,0.0716102059002752,0.0641126807541633
